law_source,law_number
104/2010,33
104/2010,29
165/2001,14
165/2001,14
104/2010,103
104/2010,29
104/2010,3
104/2010,114
104/2010,30
104/2010,53
165/2001,14
legge,241/1990
legge,241/1990
400/1988,9
241/1990,16
241/1990,3
241/1990,22
legge,165/2001
legge,445/2000
400/1988,4
241/1990,10
legge,241/1990
legge,936/1986
legge,241/1990
241/1990,7
legge,127/1997
241/1990,22
190/2012,1
400/1988,5
241/1990,8
legge,445/2000
legge,689/1981
241/1990,16
legge,241/1990
legge,241/1990
400/1988,10
241/1990,1
241/1990,2
241/1990,2
400/1988,10
241/1990,8
241/1990,6
241/1990,16
legge,445/2000
legge,936/1986
241/1990,1
241/1990,10
legge,241/1990
legge,241/1990
legge,400/1988
241/1990,8
241/1990,14
241/1990,10
241/1990,14
241/1990,2
400/1988,2
20/1994,3
241/1990,6
241/1990,21
20/1994,3
241/1990,16
241/1990,24
legge,1199/1971
241/1990,4
legge,241/1990
legge,241/1990
legge,241/1990
241/1990,6
legge,241/1990
legge,936/1986
400/1988,17
241/1990,8
241/1990,24
241/1990,7
241/1990,4
241/1990,7
241/1990,10
400/1988,5
legge,127/1997
legge,445/2000
legge,445/2000
legge,165/2001
190/2012,1
legge,445/2000
legge,241/1990
195/1958,18
legge,1199/1971
400/1988,8
400/1988,1
legge,445/2000
241/1990,10
400/1988,5
legge,689/1981
190/2012,1
legge,689/1981
legge,241/1990
400/1988,17
legge,445/2000
241/1990,6
241/1990,2
241/1990,8
legge,1199/1971
241/1990,22
legge,241/1990
legge,1199/1971
241/1990,3
190/2012,1
legge,43/1973
400/1988,2
241/1990,2
241/1990,16
400/1988,9
legge,15/2005
241/1990,9
241/1990,11
241/1990,6
241/1990,16
legge,127/1997
legge,689/1981
legge,689/1981
legge,689/1981
legge,689/1981
legge,689/1981
legge,689/1981
legge,1423/1956
legge,68/20
legge,241/1990
legge,68/2005
legge,241/1990
1034/1971,23
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,165/2
legge,241/1990
legge,1034/1971
legge,241/1990
legge,241/1990
legge,68/2005
legge,241/199
legge,59/1997
241/1990,14
legge,241/1990
legge,241/1990
legge,59/1997
legge,241/1990
legge,241/1990
legge,241/1990
legge,165/2001
legge,165/2001
legge,241/1990
legge,400/1988
legge,445/2000
legge,15/3
legge,241/1990
legge,68/2005
legge,241/1990
legge,241/1990
legge,241/1990
legge,68/2005
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,15/3
legge,445/2000
legge,241/1990
legge,241/1990
legge,165/2001
legge,241/1990
legge,241/1990
legge,241/1990
legge,68/2005
legge,59/1997
legge,165/2001
legge,205/2000
127/1997,17
legge,1034/1971
legge,7/8
legge,196/2003
legge,165/2001
legge,241/1990
legge,165/2001
legge,165/2001
legge,165/2001
legge,15/3
legge,241/1990
legge,241/1990
legge,241/1990
legge,59/1997
legge,241/199
legge,241/1990
legge,127/1997
legge,241/1990
legge,241/1990
legge,241/1990
205/2000,3
legge,1034/1971
241/1990,21
legge,241/1990
legge,59/1997
legge,241/1990
legge,241/1990
legge,241/1990
legge,445/2000
legge,241/1990
legge,241/1990
legge,165/2001
legge,127/1997
legge,241/1990
legge,241/1990
legge,241/1990
legge,165/2001
legge,241/1
127/1997,17
legge,241/1990
legge,241/1990
legge,59/1997
legge,241/1990
legge,241/1990
legge,241/1990
legge,267/2000
legge,241/1990
legge,11/2005
legge,241/1990
legge,241/1990
legge,205/2000
legge,24/1979
legge,241/1990
legge,241/1990
legge,165/2001
legge,241/1990
legge,241/1990
legge,59/1997
legge,241/1990
legge,165/2001
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1990
legge,241/1
legge,241/1990
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
196/2009,32
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
196/2009,21
196/2009,21
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
legge,196/2009
legge,279/1997
legge,279/1997
legge,286/1999
legge,279/97
legge,279/97
legge,279/97
legge,300/1999
legge,300/1999
legge,112/1999
4/2019,2
241/90,2
241/90,2
